track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,popularity,decade
Jealous Kind Of Fella,Garland green,spotify:track:1dtKN6wwlolkM8XZy2y9C1,-0.6899813626719121,0.16014190507947426,-0.6262352862530901,0.46966107249221284,0.6649977355446168,-0.3792130714960711,0.37110340812444326,-0.5087179605517232,-0.7148355740516255,1.1317462233936917,2.2790884058621033,-0.5156213884009269,-2.1123064138097414,-0.3765637631668504,-0.3028821982788652,1.0000729971410425,60s
Initials B.B.,Serge gainsbourg,spotify:track:5hjsmSnUefdUqzsDogisiX,-0.23442892805873994,-0.2950770111184615,-0.6262352862530901,-0.424305151279042,0.6649977355446168,-0.4558634477124803,-1.0216221804988717,-0.15618103357277735,-0.14763503569402175,0.9521928130528511,-0.6026149585120603,-0.17872439982698232,0.25138562771624845,0.45869672443848775,-0.09762628344279622,-0.999927008187151,60s
Melody Twist,Lord melody,spotify:track:6uk8tI6pwxxdVTNlNOJeJh,0.6598036287745241,0.27493624046851906,-0.06046708714521829,-0.5969603802592949,0.6649977355446168,-0.4059245662381531,1.42154897920474,-0.5087033978113752,-0.4772010977366661,1.3674100744660458,-0.1167179963052927,-0.09175151707312494,0.25138562771624845,-0.1515413936298312,0.3128855462293417,-0.999927008187151,60s
Mi Bomba Sonó,Celia cruz,spotify:track:7aNjMJ05FvUXACPWZ7yJmv,0.28298865199572704,-0.13673999678874457,0.5053011119626535,-0.34579126852575365,-1.503764519109264,0.36057919592593873,1.008452406307994,-0.42766741472291886,-0.8125490205169007,1.588111141343329,-0.4723345013562604,-0.6469675047546308,0.25138562771624845,-0.8077280853696279,-0.5081381131149342,-0.999927008187151,60s
Uravu Solla,P. susheela,spotify:track:1rQ0clvgkzWr001POOPJWx,-0.13881915783128396,0.7341135820246978,1.6368375101783972,1.2627077731081617,-1.503764519109264,0.5928530632483908,1.4540065670751987,-0.5058449493337266,0.06629381159681762,1.3599286823685106,-0.16218384827499002,0.0901459587936455,0.25138562771624845,-0.9632593667215441,0.7233973759014797,-0.999927008187151,60s
Beat n. 3,Ennio morricone,spotify:track:32VBSoD2vcoIOiPEvAfFXU,0.8847677940155964,0.3699384490663492,-1.474887584914898,-0.06619147023166917,0.6649977355446168,-0.5383206706119508,1.0320579247592367,2.519145926304831,-0.4598555155238953,0.8811195881262682,-0.24809815660775184,-0.564928717117862,0.25138562771624845,1.3352899881059526,-0.7133940279510032,-0.999927008187151,60s
Samba De Uma Nota So (One Note Samba),Antônio carlos jobim,spotify:track:62eoocmGk59EMfuRcLBvUL,0.6879241494296582,-1.217390119589062,-1.474887584914898,-1.6308206445238191,0.6649977355446168,-0.48373631179117454,-0.012486266708249425,0.24248222030061012,-0.6084493364799648,0.18160942700674196,0.8306418988184056,-0.8448944855418232,0.25138562771624845,0.40589627201782713,-0.7133940279510032,-0.999927008187151,60s
Happy Days,Marv johnson,spotify:track:0ecGwZA1ReAq4Mn3ZInaT4,1.0141221890292131,0.17597560651244595,-0.06046708714521829,0.2137848934473233,-1.503764519109264,-0.29791721793321285,1.2710637990780687,-0.5087179605517232,1.6563055144341372,1.2888554574419278,0.022772474703779307,-0.6290383311860624,0.25138562771624845,-0.5091944168264576,-0.5081381131149342,1.0000729971410425,60s
Carolina - Remastered 2006,Caetano veloso,spotify:track:15gNqKkZN9Mq9AvnRqWJKb,0.029903966099520694,-1.423228238217694,-0.909119385807026,-0.9145932824290733,-1.503764519109264,0.11436889656413955,0.6425668703137334,0.2787243342890998,0.3900780129018719,-0.5852332629905993,-0.038261049935814556,-0.6427142643300197,0.25138562771624845,0.3669326896904447,-0.9186499427870721,-0.999927008187151,60s
I Can Hear Music,The beach boys,spotify:track:1hcMfYTsRTC4hIKbfosxjz,-0.16131557435539123,0.09284867398934456,-0.909119385807026,0.4866065148130666,0.6649977355446168,-0.5220614998993792,-0.9611330394675625,-0.5087124583398722,-0.3442183007720903,0.533234855590889,0.309279510131874,-0.6521285514358784,0.25138562771624845,0.17143869234419576,-0.3028821982788652,1.0000729971410425,60s
